Nombre,Procesador,RAM,Disco Duro,Pantalla,SO,Precio,Tarjeta Grafica
Portátil HP 15s-eq1131ns,Athlon,8GB,256GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,379 €,
Portátil Lenovo IdeaPad 3 15ALC6,Ryzen 3,8GB,256GB SSD,"15,6""",W11s,369 €,
Chromebook convertible 2 en 1 Acer Spin CP513-1H,Qualcomm Snapdragon,8GB,64GB eMMC,"13,3""",ChromeOS,399 €,
Portátil Medion Akoya E15301 / MD62432,Ryzen 7,16GB,512GB SSD,"15,6""",W11,559 €,
Apple MacBook Air 13 (2022) M2,8GB,512 GB SSD,"13,6""",MacOS,Gris espacial,1.788 €,
Portátil MSI Modern 15 A5M-290ES,Ryzen 5,16GB,512GB SSD,"15,6""",W11,719 €,
Portátil LG Gram 16Z90Q,i7,16GB,512GB SSD,"16""",W11,1.349 €,
Convertible 2 en 1 HP Pavilion x360 14-ek0000ns,i3,8GB,512GB SSD,"14""",W11,699 €,
Portátil Medion Akoya E16401 MD62263,i5,8GB,512GB SSD,"16""",W11,509 €,
Portátil ASUS VivoBook 15X OLED M1503QA-L1048W,Ryzen 7,16GB,512GB SSD,"15,6""",W11,799 €,
Portátil HP 15s-fq2182ns,i3,8GB,512GB SSD,"15,6""",W11,499 €,
Convertible 2 en 1 HP Chromebook x360 14a-ca0024ns,Intel Celeron,4GB,64GB eMMC,"14""",ChromeOS,"339,15 €",
Apple MacBook Air 13 (2022) M2,8GB,256 GB SSD,"13,6""",MacOS,Medianoche,1.440 €,
Portátil ASUS ZenBook 13 OLED UX325EA-KG800W,i5,16GB,512GB SSD,"13,3""",W11,799 €,
Portátil Lenovo Ideapad 3 15ITL6-CLSP,i3,8GB,256 GB SSD,"15,6""",W11s,419 €,
Portátil HP 14s-dq4001ns,i7,8GB,512GB SSD,"14""",W11,749 €,
Portátil Acer Aspire 3 NX.A32EB.005,Ryzen 3,8GB,256GB SSD,"14""",W11,349 €,
Convertible 2 en 1 ASUS VivoBook S 14 Flip TP3402ZA-LZ047W,i5,16GB,512GB SSD,849 €,,,
Portátil HP 15s-eq2065ns,Ryzen 3,8GB,512GB SSD,"15,6""",W11,999 €,
Portátil Acer Swift 3,i5,16GB,512GB SSD,"14""",W11,899 €,
Convertible 2 en 1 Samsung Galaxy Book2 360,i5,8GB,256GB SSD,"13,3""",W11,1.483 €,
Convertible 2 en 1 HP Pavilion x360 14-ek0005ns,i5,8GB,512GB SSD,"14""",W11,699 €,
Portátil ASUS Vivobook 15 OLED K513EA-L12891W,i5,12GB,512GB SSD,"15,6""",W11,1.399 €,
Portátil HP 15s-fq5045ns,i7,16GB,512GB SSD,"15,6""",W11,849 €,
Convertible 2 en 1 HP Pavilion x360 14-ek0021ns,i5,16GB,512GB SSD,"14""",W11,699 €,
Portátil Lenovo IdeaPad 3 15ALC6,Ryzen 5,8GB,512GB SSD,"15,6""",W11,449 €,
Apple MacBook Pro 13 (2022) M2,8GB,256 GB SSD,"13,3""",MacOS,Gris espacial,599 €,
Portátil Medion Classmate E11201 MD62378,Celeron,4GB,128 GB eMMC,"11,6""",W10 Pro,2.062 €,
Portátil Lenovo IdeaPad 3 15ALC6,Ryzen 5,16GB,512GB SSD,"15,6""",W11s,1.399 €,
Portátil LG Gram 17Z90Q,i7,16GB,1TB SSD,"17""",W11,"279,65 €",
Portátil HP Stream 11-ak0011ns,Celeron,4GB,64GB eMMC,"11,6""",W11s,1.399 €,
Portátil LG Gram 16Z90Q,i7,32GB,1TB SSD,"16""",W11,1.119 €,
Portátil Acer Aspire 5 A515,Ryzen 7,12GB,512GB SSD,"15,6""",W11,1.694 €,
Portátil ASUS F1400EA-EB1517W,i5,8GB,512GB SSD,"14""",W11,1.099 €,
Portátil HP Pavilion Plus 14-eh0004ns,i7,16GB,1TB SSD,"14""",W11,799 €,
Convertible 2 en 1 HP Chromebook x360 14b-cb0001ns,Pentium Silver,8GB,128GB eMMC,"14""",ChromeOS,1.119 €,
Apple MacBook Pro 13 (2022) M2,8GB,512 GB SSD,"13,3""",MacOS,Gris espacial,1.099 €,
Convertible 2 en 1 ASUS Zenbook Flip 13 OLED UX363EA-HP525W,i7,16GB,512GB SSD,"13,3""",W11,779 €,
Portátil HP Pavilion 14-ec0010ns,Ryzen 7,16GB,512GB SSD,"14""",W11,649 €,
Portátil HP 14s-dq2011ns,i3,8GB,512GB SSD,699 €,,,
Portátil HP 15s-fq5110ns,i5,8GB,512GB SSD,"15,6""",W11,1.299 €,
Portátil Acer Aspire 5,i7,16GB,1TB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,1.699 €,
Portátil HP 15s-fq4009ns,i7,8GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,1.649 €,
Convertible 2 en 1 ASUS Vivobook Go 14 Flip TP1400KA-EC040WS,Celeron,4GB,128GB Emmc,"14""",W11s,859 €,
Portátil HP 250 G8,i5,8GB,256GB SSD,"15,6""",W10,1.699 €,
Portátil Lenovo IdeaPad Flex 5 14ITL05,i7,16GB,512GB SSD,"14""",W11,759 €,
Portátil Lenovo IdeaPad 5 14ITL05,i7,8GB,512GB SSD,"14""",W11,2.499 €,
Portátil HP 15s-fq5046ns,i7,16GB,1TB SSD,"15,6""",W11,1.788 €,
Portátil HP 17-cn2008ns,i5,16GB,1TB SSD,"17,3""",W11,1.699 €,
Portátil HP 15s-fq2148ns,i3,8GB,256GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,1.799 €,
Chromebook HP 14b-nb0004ns,i3,8GB,256GB SSD,"14""",ChromeOS,999 €,
Portátil LG Gram 14Z90Q,i7,16GB,512GB SSD,"14""",W11,1.199 €,
Portátil Samsung Galaxy Book2,i7,16GB,512GB SSD,"15,6""",W11+,"322,15 €",
Portátil HP Stream 14s-dq0025ns,Celeron,4GB,128GB SSD,"14""",W11s,"279,65 €",
Convertible 2 en 1 HP Envy x360 15-ew0004ns,i5 EVO,16GB,512GB SSD,"15,6""",W11,649 €,
Portátil Acer Aspire 5 A515,Ryzen 7,16GB,512GB SSD,"15,6""",W11,1.788 €,
Portátil HP Stream 11-ak0012ns,Celeron,4GB,64GB eMMC,"11,6""",W11s,1.440 €,
Portátil HP 15s-fq4008ns,i5,16GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,699 €,
Apple MacBook Air 13 (2022) M2,8GB,512 GB SSD,"13,6""",MacOS,Plata,2.733 €,
Apple MacBook Air 13 (2022) M2,8GB,256 GB SSD,"13,6""",MacOS,Gris espacial,1.694 €,
Chromebook HP 14a-na1014ns,Pentium Silver,8GB,128GB eMMC,"14""",ChromeOS,2.522 €,
Portátil HP 250 G9,"335,06 €",,,,,,
Microsoft Surface Laptop 4,Ryzen 5,8GB,128GB SSD,"13,5""",W10,"602,95 €",
Portátil MSI Modern 14 C12M-076ES,i7,16GB,512GB SSD,"14""",W11,849 €,
Portátil HP 255 G8,AMD Athlon,8GB,256GB SSD,1.649 €,,,
Portátil HP 15s-fq4058ns,i5,8GB,256GB SSD,"322,15 €",,,
Portátil HP 15s-fq4060ns,i5,8GB,512GB SSD,479 €,,,
Portátil ASUS Chromebook CX1400CNA-EK0212,Celeron,8GB,64GB eMMC,"14""",ChromeOS,"319,20 €",
Portátil Acer Aspire 3 NX.HE3EB.00J,Celeron,8GB,256GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,1.599 €,
Convertible 2 en 1 HP Chromebook x360 14a-ca0035ns,Pentium Silver,8GB,64GB eMMC,"14""",ChromeOS,849 €,
Portátil HP 15s-fq5047ns,i7,16GB,512GB SSD,"15,6""",W11,1.788 €,
Portátil ASUS F1400EA-EB1837W,i5,8GB,512GB SSD,"14""",W11,1.299 €,
Apple MacBook Air 13 (2022) M2,8GB,512 GB SSD,"13,6""",MacOS,Blanco estrella,669 €,
Microsoft Surface Laptop Go 2,i5,8GB,256GB SSD,"12,4""",W11,2.062 €,
Portátil Huawei MateBook D16 (2022),i5,16GB,512GB SSD,"16""",W11,899 €,
Convertible 2 en 1 HP Pavilion x360 14-ek0023ns,i7,16GB,512GB SSD,"14""",W11,619 €,
Portátil HP 15s-fq5090ns,i7,8GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,2.529 €,
Portátil HP 15s-fq5071ns,i5,8GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,2.733 €,
Portátil Gaming Acer Predator Helios 300 NH.QC2EB.006,i7,32GB,"1TB SSD,GeForce RTX 3060","15,6""",FreeDOS / Sin Sistema Operativo,999 €,
Portátil Samsung Galaxy Book2 Pro,i5,16GB,512GB SSD,"13,3""",W11+,1.999 €,
Portátil Huawei MateBook X Pro 2022,i7,16GB,1TB SSD,"14,2""",W11,1.699 €,
Microsoft Surface Pro 8,i5,8GB,128GB SSD Platino,"13""",W11,1.079 €,
Portátil ASUS ZenBook Pro 14 Duo OLED UX8402ZA-M3043W,i7,16GB,512GB SSD,"14,5""",W11,1.499 €,
Convertible 2en1 ASUS Chromebook Flip CX5 CX5601FBA-MC0015,i5,16GB,256GB SSD,"16""",Chrome OS,2.299 €,
